repo,issue_number,event_id,event_type,event_created_at,actor_login,label_name,assignee_login
microsoft/vscode,302993,23705840772,labeled,2026-03-19T05:14:22Z,bpasero,bug,
microsoft/vscode,302993,23705840779,labeled,2026-03-19T05:14:22Z,bpasero,chat-agents-window,
microsoft/vscode,302993,23709407787,closed,2026-03-19T08:20:52Z,bpasero,,
microsoft/vscode,302993,23709422385,labeled,2026-03-19T08:21:28Z,vs-code-engineering[bot],unreleased,
microsoft/vscode,302993,23717558149,unlabeled,2026-03-19T13:19:03Z,vs-code-engineering[bot],unreleased,
microsoft/vscode,302993,23717558527,labeled,2026-03-19T13:19:04Z,vs-code-engineering[bot],insiders-released,
microsoft/vscode,302992,23696983350,labeled,2026-03-18T21:18:08Z,steven42121,chat-ext-issue,
microsoft/vscode,302992,23697005408,unlabeled,2026-03-18T21:18:58Z,vs-code-engineering[bot],chat-ext-issue,
microsoft/vscode,302992,23697007496,labeled,2026-03-18T21:19:04Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302992,23697025214,unlabeled,2026-03-18T21:19:47Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302992,23697025428,closed,2026-03-18T21:19:48Z,vs-code-engineering[bot],,
microsoft/vscode,302957,23694397575,labeled,2026-03-18T19:40:11Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302957,23694398028,closed,2026-03-18T19:40:12Z,vs-code-engineering[bot],,
microsoft/vscode,302956,23694395639,labeled,2026-03-18T19:40:06Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302956,23694396070,closed,2026-03-18T19:40:07Z,vs-code-engineering[bot],,
microsoft/vscode,302954,23694010656,labeled,2026-03-18T19:24:04Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302954,23694011304,closed,2026-03-18T19:24:06Z,vs-code-engineering[bot],,
microsoft/vscode,302945,23693025476,labeled,2026-03-18T18:46:31Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302945,23693042327,unlabeled,2026-03-18T18:47:03Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302945,23693042438,closed,2026-03-18T18:47:03Z,vs-code-engineering[bot],,
microsoft/vscode,302928,23691758331,labeled,2026-03-18T18:02:44Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302928,23691759270,closed,2026-03-18T18:02:46Z,vs-code-engineering[bot],,
microsoft/vscode,302925,23691685482,labeled,2026-03-18T18:00:11Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302925,23691686321,closed,2026-03-18T18:00:13Z,vs-code-engineering[bot],,
microsoft/vscode,302924,23691644589,labeled,2026-03-18T17:58:52Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302924,23691645239,closed,2026-03-18T17:58:53Z,vs-code-engineering[bot],,
microsoft/vscode,302922,23691312332,labeled,2026-03-18T17:47:31Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302922,23691313085,closed,2026-03-18T17:47:32Z,vs-code-engineering[bot],,
microsoft/vscode,302921,23691311737,labeled,2026-03-18T17:47:30Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302921,23691312719,closed,2026-03-18T17:47:32Z,vs-code-engineering[bot],,
microsoft/vscode,302919,23691193604,labeled,2026-03-18T17:43:22Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302919,23691214217,unlabeled,2026-03-18T17:44:03Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302919,23691214397,closed,2026-03-18T17:44:03Z,vs-code-engineering[bot],,
microsoft/vscode,302918,23691193340,labeled,2026-03-18T17:43:22Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302918,23691214530,unlabeled,2026-03-18T17:44:03Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302918,23691214775,closed,2026-03-18T17:44:04Z,vs-code-engineering[bot],,
microsoft/vscode,302899,23689615238,labeled,2026-03-18T16:55:08Z,vs-code-engineering[bot],ai-translated,
microsoft/vscode,302899,23689617661,labeled,2026-03-18T16:55:13Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302899,23689618916,closed,2026-03-18T16:55:15Z,vs-code-engineering[bot],,
microsoft/vscode,302896,23689225827,labeled,2026-03-18T16:44:03Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302896,23689226889,closed,2026-03-18T16:44:05Z,vs-code-engineering[bot],,
microsoft/vscode,302896,23689248464,labeled,2026-03-18T16:44:45Z,vs-code-engineering[bot],new release,
microsoft/vscode,302894,23688977254,labeled,2026-03-18T16:36:56Z,caiyufanok,chat-ext-issue,
microsoft/vscode,302894,23689005326,unlabeled,2026-03-18T16:37:44Z,vs-code-engineering[bot],chat-ext-issue,
microsoft/vscode,302894,23689006562,labeled,2026-03-18T16:37:47Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302894,23689007515,closed,2026-03-18T16:37:49Z,vs-code-engineering[bot],,
microsoft/vscode,302889,23688931507,labeled,2026-03-18T16:35:37Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302889,23688932078,assigned,2026-03-18T16:35:38Z,dmitrivMS,,dmitrivMS
microsoft/vscode,302889,23689495236,labeled,2026-03-18T16:51:29Z,dmitrivMS,~info-needed,
microsoft/vscode,302889,23689497644,unlabeled,2026-03-18T16:51:33Z,dmitrivMS,triage-needed,
microsoft/vscode,302889,23689498500,unassigned,2026-03-18T16:51:35Z,dmitrivMS,,dmitrivMS
microsoft/vscode,302889,23689513980,unlabeled,2026-03-18T16:52:04Z,vs-code-engineering[bot],~info-needed,
microsoft/vscode,302889,23689514039,labeled,2026-03-18T16:52:04Z,vs-code-engineering[bot],info-needed,
microsoft/vscode,302889,23690331118,labeled,2026-03-18T17:16:18Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302889,23690331978,closed,2026-03-18T17:16:19Z,vs-code-engineering[bot],,
microsoft/vscode,302886,23688464956,labeled,2026-03-18T16:21:59Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302886,23688465713,closed,2026-03-18T16:22:01Z,vs-code-engineering[bot],,
microsoft/vscode,302882,23688220787,labeled,2026-03-18T16:14:58Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302882,23688221702,closed,2026-03-18T16:15:00Z,vs-code-engineering[bot],,
microsoft/vscode,302879,23688933409,assigned,2026-03-18T16:35:41Z,sandy081,,sandy081
microsoft/vscode,302879,23697459989,labeled,2026-03-18T21:37:59Z,sandy081,error-list,
microsoft/vscode,302879,23697487318,labeled,2026-03-18T21:39:05Z,vs-code-engineering[bot],*duplicate,
microsoft/vscode,302879,23697509777,closed,2026-03-18T21:40:07Z,vs-code-engineering[bot],,
microsoft/vscode,302874,23687128492,labeled,2026-03-18T15:43:52Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302874,23687129644,closed,2026-03-18T15:43:53Z,vs-code-engineering[bot],,
microsoft/vscode,302871,23686633772,assigned,2026-03-18T15:30:26Z,lramos15,,lramos15
microsoft/vscode,302871,23688334099,closed,2026-03-18T16:18:17Z,lramos15,,
microsoft/vscode,302868,23686423428,labeled,2026-03-18T15:24:50Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302868,23686424676,closed,2026-03-18T15:24:52Z,vs-code-engineering[bot],,
microsoft/vscode,302867,23686292061,labeled,2026-03-18T15:21:29Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302867,23686293286,closed,2026-03-18T15:21:30Z,vs-code-engineering[bot],,
microsoft/vscode,302864,23686213048,labeled,2026-03-18T15:19:30Z,vs-code-engineering[bot],ai-translated,
microsoft/vscode,302864,23686217331,labeled,2026-03-18T15:19:36Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302864,23686218419,closed,2026-03-18T15:19:38Z,vs-code-engineering[bot],,
microsoft/vscode,302861,23686097657,labeled,2026-03-18T15:16:46Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302861,23686098637,closed,2026-03-18T15:16:48Z,vs-code-engineering[bot],,
microsoft/vscode,302859,23686051106,labeled,2026-03-18T15:15:38Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302859,23686052506,closed,2026-03-18T15:15:40Z,vs-code-engineering[bot],,
microsoft/vscode,302858,23685945468,labeled,2026-03-18T15:13:10Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302858,23685947056,closed,2026-03-18T15:13:12Z,vs-code-engineering[bot],,
microsoft/vscode,302857,23685942516,labeled,2026-03-18T15:13:05Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302857,23685943584,closed,2026-03-18T15:13:07Z,vs-code-engineering[bot],,
microsoft/vscode,302856,23685948111,labeled,2026-03-18T15:13:13Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302856,23685949485,closed,2026-03-18T15:13:15Z,vs-code-engineering[bot],,
microsoft/vscode,302850,23685635734,labeled,2026-03-18T15:05:34Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302850,23685636927,closed,2026-03-18T15:05:36Z,vs-code-engineering[bot],,
microsoft/vscode,302849,23685634760,labeled,2026-03-18T15:05:32Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302849,23685636101,closed,2026-03-18T15:05:34Z,vs-code-engineering[bot],,
microsoft/vscode,302845,23684949454,labeled,2026-03-18T14:48:36Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302845,23684950102,assigned,2026-03-18T14:48:37Z,lostintangent,,lostintangent
microsoft/vscode,302845,23684998878,labeled,2026-03-18T14:49:49Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302845,23685000142,closed,2026-03-18T14:49:51Z,vs-code-engineering[bot],,
microsoft/vscode,302844,23684951955,labeled,2026-03-18T14:48:39Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302844,23684953359,assigned,2026-03-18T14:48:41Z,hediet,,hediet
microsoft/vscode,302844,23685006688,labeled,2026-03-18T14:49:59Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302844,23685008120,closed,2026-03-18T14:50:01Z,vs-code-engineering[bot],,
microsoft/vscode,302843,23684869448,labeled,2026-03-18T14:46:27Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302843,23684870545,closed,2026-03-18T14:46:29Z,vs-code-engineering[bot],,
microsoft/vscode,302842,23684869763,labeled,2026-03-18T14:46:28Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302842,23684870802,closed,2026-03-18T14:46:30Z,vs-code-engineering[bot],,
microsoft/vscode,302841,23684868375,labeled,2026-03-18T14:46:26Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302841,23684870063,closed,2026-03-18T14:46:28Z,vs-code-engineering[bot],,
microsoft/vscode,302837,23684696045,labeled,2026-03-18T14:41:39Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302837,23684975612,unlabeled,2026-03-18T14:49:14Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302837,23684975821,closed,2026-03-18T14:49:15Z,vs-code-engineering[bot],,
microsoft/vscode,302833,23683766283,labeled,2026-03-18T14:15:04Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302833,23683766998,assigned,2026-03-18T14:15:05Z,ulugbekna,,ulugbekna
microsoft/vscode,302833,23684535220,labeled,2026-03-18T14:37:20Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302833,23684536134,closed,2026-03-18T14:37:21Z,vs-code-engineering[bot],,
microsoft/vscode,302828,23683776413,labeled,2026-03-18T14:15:22Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302828,23683777035,assigned,2026-03-18T14:15:23Z,meganrogge,,meganrogge
microsoft/vscode,302828,23684210949,labeled,2026-03-18T14:28:02Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302828,23684212011,closed,2026-03-18T14:28:04Z,vs-code-engineering[bot],,
microsoft/vscode,302827,23683774611,labeled,2026-03-18T14:15:19Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302827,23683775164,assigned,2026-03-18T14:15:20Z,connor4312,,connor4312
microsoft/vscode,302827,23684218734,labeled,2026-03-18T14:28:16Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302827,23684219741,closed,2026-03-18T14:28:18Z,vs-code-engineering[bot],,
microsoft/vscode,302826,23683363081,assigned,2026-03-18T14:03:38Z,isidorn,,isidorn
microsoft/vscode,302826,23684029562,labeled,2026-03-18T14:22:52Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302826,23684030528,closed,2026-03-18T14:22:54Z,vs-code-engineering[bot],,
microsoft/vscode,302822,23683781683,labeled,2026-03-18T14:15:31Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302822,23683782328,assigned,2026-03-18T14:15:32Z,aiday-mar,,aiday-mar
microsoft/vscode,302822,23683864985,labeled,2026-03-18T14:17:58Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302822,23683866220,closed,2026-03-18T14:17:59Z,vs-code-engineering[bot],,
microsoft/vscode,302805,23680547459,labeled,2026-03-18T12:38:08Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302805,23680547748,assigned,2026-03-18T12:38:09Z,Giuspepe,,Giuspepe
microsoft/vscode,302805,23680611510,labeled,2026-03-18T12:40:24Z,vs-code-engineering[bot],~chat-billing,
microsoft/vscode,302805,23680793717,unlabeled,2026-03-18T12:46:49Z,vs-code-engineering[bot],~chat-billing,
microsoft/vscode,302805,23680793754,closed,2026-03-18T12:46:49Z,vs-code-engineering[bot],,
microsoft/vscode,302805,23680793761,labeled,2026-03-18T12:46:49Z,vs-code-engineering[bot],chat-billing,
microsoft/vscode,302789,23678796904,labeled,2026-03-18T11:41:53Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,302789,23678797465,closed,2026-03-18T11:41:54Z,vs-code-engineering[bot],,
microsoft/vscode,302786,23678745707,labeled,2026-03-18T11:40:20Z,vs-code-engineering[bot],ai-translated,
microsoft/vscode,302786,23678748348,labeled,2026-03-18T11:40:26Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302786,23678828820,unlabeled,2026-03-18T11:42:50Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302786,23678828946,closed,2026-03-18T11:42:50Z,vs-code-engineering[bot],,
microsoft/vscode,302735,23675062559,closed,2026-03-18T09:42:32Z,Borgerod,,
microsoft/vscode,302735,23675078252,labeled,2026-03-18T09:43:01Z,vs-code-engineering[bot],~info-needed,
microsoft/vscode,302735,23675078586,labeled,2026-03-18T09:43:02Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302735,23675093333,unlabeled,2026-03-18T09:43:30Z,vs-code-engineering[bot],~info-needed,
microsoft/vscode,302735,23675093380,labeled,2026-03-18T09:43:30Z,vs-code-engineering[bot],info-needed,
microsoft/vscode,302725,23674889148,labeled,2026-03-18T09:37:16Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302725,23674906872,unlabeled,2026-03-18T09:37:45Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,302725,23674907083,closed,2026-03-18T09:37:46Z,vs-code-engineering[bot],,
microsoft/vscode,302723,23674856535,labeled,2026-03-18T09:36:20Z,vs-code-engineering[bot],~chat-billing,
microsoft/vscode,302723,23674874377,unlabeled,2026-03-18T09:36:50Z,vs-code-engineering[bot],~chat-billing,
microsoft/vscode,302723,23674874465,labeled,2026-03-18T09:36:50Z,vs-code-engineering[bot],chat-billing,
microsoft/vscode,302723,23674874655,closed,2026-03-18T09:36:51Z,vs-code-engineering[bot],,
microsoft/vscode,302717,23674636437,labeled,2026-03-18T09:30:00Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302717,23674636807,assigned,2026-03-18T09:30:01Z,justschen,,justschen
microsoft/vscode,302717,23678644067,labeled,2026-03-18T11:36:49Z,vs-code-engineering[bot],*duplicate,
microsoft/vscode,302717,23678772610,closed,2026-03-18T11:41:10Z,vs-code-engineering[bot],,
microsoft/vscode,302715,23673821482,labeled,2026-03-18T09:08:45Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302715,23673839892,unlabeled,2026-03-18T09:09:16Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302715,23673840013,closed,2026-03-18T09:09:16Z,vs-code-engineering[bot],,
microsoft/vscode,302709,23674545555,closed,2026-03-18T09:27:26Z,Luviz,,
microsoft/vscode,302709,23674639857,labeled,2026-03-18T09:30:07Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302709,23674640268,assigned,2026-03-18T09:30:07Z,deepak1556,,deepak1556
microsoft/vscode,302707,23674641419,labeled,2026-03-18T09:30:09Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,302707,23674641796,assigned,2026-03-18T09:30:10Z,lramos15,,lramos15
microsoft/vscode,302707,23678530384,assigned,2026-03-18T11:32:55Z,Tyriar,,Tyriar
microsoft/vscode,302707,23678530533,unassigned,2026-03-18T11:32:56Z,lramos15,,lramos15
microsoft/vscode,302707,23678531873,unlabeled,2026-03-18T11:32:59Z,lramos15,triage-needed,
microsoft/vscode,302707,23678698056,assigned,2026-03-18T11:38:39Z,meganrogge,,meganrogge
microsoft/vscode,302707,23689305175,closed,2026-03-18T16:46:23Z,meganrogge,,
microsoft/vscode,302707,23689307677,labeled,2026-03-18T16:46:28Z,meganrogge,*question,
microsoft/vscode,302705,23672977581,labeled,2026-03-18T08:41:43Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302705,23672992865,unlabeled,2026-03-18T08:42:15Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302705,23672993084,closed,2026-03-18T08:42:15Z,vs-code-engineering[bot],,
microsoft/vscode,302694,23671045649,labeled,2026-03-18T07:31:36Z,vs-code-engineering[bot],ai-translated,
microsoft/vscode,302694,23671046896,labeled,2026-03-18T07:31:39Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302694,23671059753,unlabeled,2026-03-18T07:32:14Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302694,23671059891,closed,2026-03-18T07:32:14Z,vs-code-engineering[bot],,
microsoft/vscode,302675,23669161169,labeled,2026-03-18T06:05:20Z,vs-code-engineering[bot],ai-translated,
microsoft/vscode,302675,23669162323,labeled,2026-03-18T06:05:23Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302675,23669172527,unlabeled,2026-03-18T06:05:55Z,vs-code-engineering[bot],~chat-rate-limiting,
microsoft/vscode,302675,23669172632,closed,2026-03-18T06:05:56Z,vs-code-engineering[bot],,
microsoft/vscode,302669,23668123800,assigned,2026-03-18T05:14:08Z,benibenj,,benibenj
microsoft/vscode,302669,23699666690,closed,2026-03-18T23:24:53Z,benibenj,,
microsoft/vscode,302669,23699675789,labeled,2026-03-18T23:25:25Z,vs-code-engineering[bot],unreleased,
microsoft/vscode,302669,23706780006,unlabeled,2026-03-19T06:09:11Z,vs-code-engineering[bot],unreleased,
microsoft/vscode,302669,23706780236,labeled,2026-03-19T06:09:12Z,vs-code-engineering[bot],insiders-released,
microsoft/vscode,302668,23668065669,assigned,2026-03-18T05:10:58Z,benibenj,,benibenj
microsoft/vscode,302668,23684442911,closed,2026-03-18T14:34:50Z,benibenj,,
microsoft/vscode,302660,23667809484,assigned,2026-03-18T04:55:11Z,benibenj,,benibenj
microsoft/vscode,302660,23684133114,closed,2026-03-18T14:25:48Z,benibenj,,
