repo,issue_number,comment_id,clean_comment,comment_created_at,comment_author_login,comment_author_type,author_association,is_solution_comment,primary_label
microsoft/vscode,302896,4084173728,"now, after approximately 2 hours, the real limit has disappeared.",2026-03-18 17:08:39+00:00,RomerX64,User,NONE,0,duplicate
microsoft/vscode,302886,4085398660,"yes! i definitely am using the previous version because the current one kept crashing. this one hasn't yet. on wed, mar 18, 2026, 10:23 am vs-code-engineering[bot] < @ . wrote: vs-code-engineering[bot] left a comment (microsoft/vscode) thanks for creating this issue! it looks like you may be using an old version of vs code; the latest stable release is 1.112.0. please try upgrading to the latest version and checking whether this issue remains. happy coding! — reply to this email directly, view it on github , or unsubscribe . you are receiving this because you authored the thread.message id: @ .",2026-03-18 20:31:28+00:00,deven-rose-777,User,NONE,0,duplicate
microsoft/vscode,302886,4085459738,"it's offering me v0.39.2 is vs code i just chose the one previous to what i had installed which i think was the above on wed, mar 18, 2026, 2:31 pm deven rose @ . wrote: yes! i definitely am using the previous version because the current one kept crashing. this one hasn't yet. on wed, mar 18, 2026, 10:23 am vs-code-engineering[bot] < @ . wrote: vs-code-engineering[bot] left a comment (microsoft/vscode) thanks for creating this issue! it looks like you may be using an old version of vs code; the latest stable release is 1.112.0. please try upgrading to the latest version and checking whether this issue remains. happy coding! — reply to this email directly, view it on github , or unsubscribe . you are receiving this because you authored the thread.message id: @ .",2026-03-18 20:43:31+00:00,deven-rose-777,User,NONE,0,duplicate
microsoft/vscode,302879,4085726844,/duplicate,2026-03-18 21:37:56+00:00,sandy081,User,MEMBER,0,error
microsoft/vscode,302879,4085747491,what issue is this a duplicate of?,2026-03-18 21:42:29+00:00,RobertOstermann,User,NONE,0,error
microsoft/vscode,302871,4083737694,student benefits have been limited recently here is the news [url],2026-03-18 16:07:07+00:00,RomerX64,User,NONE,0,unlabelled
microsoft/vscode,302867,4083692224,"thank you for your response, i have updated and reset my ide but the problem persists, i have received a large number of rate limit blocks despite having waited 20min",2026-03-18 16:00:54+00:00,RomerX64,User,NONE,0,duplicate
microsoft/vscode,302859,4083909877,"it happened again after the update, i'm legit not doing anything that would need to be censored or redacted if that's the problem: sorry, your request failed. please try again. copilot request id: 98070eb7-ea23-4d33-9f3f- [hash] gh request id: ed5b:2f9039:3fa875:457312:69ba d29e reason: request failed: 400 {""type"":""error"",""error"":{""type"":""invalid request error"",""message"":""messages.1.content.6: thinking or redacted thinking blocks in the latest assistant message cannot be modified. these blocks must remain as they were in the original response.""},""request id"":""req 011czartdujdqssjn4vzmhor""}",2026-03-18 16:32:12+00:00,TheBeardedMustache,User,NONE,0,duplicate
microsoft/vscode,302859,4084385424,"this has now happened several times in one session, this never happened as much before the last updates, then it constantly stops with ""what can i help you with?"" what happened? why is the quality degrading?",2026-03-18 17:37:51+00:00,TheBeardedMustache,User,NONE,0,duplicate
microsoft/vscode,302849,4088761881,"i upgrade to 1.112 in order to test if it is fixed but it still persisted. one hint: i might come from the new ""bypass approval"" feature. i did not encounter the bug when i was using the ""default approval"" but i think it only happend when using the bypass",2026-03-19 09:10:32+00:00,eliasfauser,User,NONE,1,duplicate
microsoft/vscode,302725,4081156017,fix,2026-03-18 09:51:11+00:00,Siddharth6462,User,NONE,1,unlabelled
microsoft/vscode,302717,4081751371,/duplicate,2026-03-18 11:30:52+00:00,IllusionMH,User,CONTRIBUTOR,0,triage
microsoft/vscode,302709,4080778304,"oh yeah i forgot to mention, i don't have this issue on xcode. i also use starship prompt other the that i have a simple fish config.",2026-03-18 08:49:17+00:00,Luviz,User,NONE,0,triage
microsoft/vscode,302709,4080982158,"thanks for reproduction this i'll take a look on wed, mar 18, 2026, 8:49 am bardia jedi @ . wrote: luviz left a comment (microsoft/vscode) oh yeah i forgot to mention, i don't have this issue on xcode. i also use starship prompt other the that i have a simple fish config. — reply to this email directly, view it on github , or unsubscribe . you are receiving this because you are subscribed to this thread.message id: @ .",2026-03-18 09:23:00+00:00,canyonopm3026-create,User,NONE,0,triage
microsoft/vscode,302709,4081012500,i don't know what it was but a system update and a reboot fixed the issue,2026-03-18 09:27:26+00:00,Luviz,User,NONE,1,triage
microsoft/vscode,302707,4081139697,holding alt should also keep to open,2026-03-18 09:47:26+00:00,RedCMD,User,CONTRIBUTOR,0,question
microsoft/vscode,302707,4084013183,you can also focus it with the keyboard - [inline code],2026-03-18 16:46:23+00:00,meganrogge,User,COLLABORATOR,0,question
microsoft/vscode,302669,4083490545,this was intentional for the current design where it's not possible to set the model used for the code review. the action should become enabled again when new changes are made (we support 1 code review per turn). the idea is that the user starts a session and at the end of the turn runs a code review (probably we should automatically run it) the user then addresses these which causes changes and the user can run the code review again...,2026-03-18 15:33:18+00:00,benibenj,User,CONTRIBUTOR,0,released
microsoft/vscode,302669,4083955642,"ah i see. in practice, i'll also sometimes do multiple review passes, even with the same model. since that almost always yields additional opportunities. so i just wonder whether it'd make sense to allow arbitrary reviews?",2026-03-18 16:38:30+00:00,lostintangent,User,MEMBER,0,released
microsoft/vscode,302669,4085930071,"will allow running code review multiple times for the same session version. there are cases in which no review comment is produced, these cases might be hard to tell as the button will just enable again without a message indicating that no comments were produced during the previous code review. i am updating the tooltip/hover to mention that the previous code review did not produce any comments but that the user can run the code review again",2026-03-18 22:20:25+00:00,benibenj,User,CONTRIBUTOR,0,released
microsoft/vscode,302668,4083024141,added an edit action which will allow you to edit the feedback.,2026-03-18 14:34:50+00:00,benibenj,User,CONTRIBUTOR,0,unlabelled
microsoft/vscode,302668,4085203378,nice! this feels pretty good in practice 👍🏼,2026-03-18 19:53:21+00:00,lostintangent,User,MEMBER,0,unlabelled
microsoft/vscode,302660,4079688151,"it's possible this is related to the same underlying issue as , but i wanted to log it just in case.",2026-03-18 04:56:45+00:00,lostintangent,User,MEMBER,0,unlabelled
microsoft/vscode,302660,4082966719,"expecting this to be fixed in the next insiders. please reopen if you see it happen again. i also added logs to the output view in case this happens again, just look for the [inline code] string to find them",2026-03-18 14:25:47+00:00,benibenj,User,CONTRIBUTOR,1,unlabelled
microsoft/vscode,302642,4079379495,claude models disappeared,2026-03-18 03:30:41+00:00,avartan007,User,NONE,0,unlabelled
microsoft/vscode,302642,4081720716,[url],2026-03-18 11:26:45+00:00,lramos15,User,MEMBER,0,unlabelled
microsoft/vscode,302613,4078831892,"now things continue to be messed up, i just don't know what's going on. you can see that the terminal ran the command, got the right output, but the tool call somehow returned the wrong command output , which you can see in the log to confirm. [6fb23298.copilotmd]( [url]",2026-03-18 00:21:28+00:00,roblourens,User,MEMBER,0,duplicate
microsoft/vscode,302613,4078833771,"i frequently end up in these situations where the terminal tool seems confused and broken, but i don't really know what issue to file because i'm not sure what's happening.",2026-03-18 00:22:05+00:00,roblourens,User,MEMBER,0,duplicate
microsoft/vscode,302613,4079260920,the two rendering issues should be fixed with [url] and [url],2026-03-18 02:47:48+00:00,justschen,User,COLLABORATOR,1,duplicate
microsoft/vscode,302613,4084044802,/duplicate of [url],2026-03-18 16:50:21+00:00,meganrogge,User,COLLABORATOR,0,duplicate
microsoft/vscode,302613,4084055376,"also [url] you have rich shell integration, right? i've been trying hard to reproduce this",2026-03-18 16:51:52+00:00,meganrogge,User,COLLABORATOR,0,duplicate
microsoft/vscode,302613,4084069369,another possibility is you're hitting this: [url] which i can repro,2026-03-18 16:54:17+00:00,meganrogge,User,COLLABORATOR,0,duplicate
microsoft/vscode,302613,4084672721,"it's not truncated, it's output from the wrong command. not sure whether those issues cover that",2026-03-18 18:19:14+00:00,roblourens,User,MEMBER,0,duplicate
microsoft/vscode,302600,4078586560,thank you for your feedback - we love hearing when developers love our model choices!,2026-03-17 23:16:28+00:00,jukasper,User,MEMBER,0,triage
microsoft/vscode,302600,4079905350,"i did not love your choices of models, the old ones were better, the new one is not functional. too many mistakes and errors. i hope you retrieve back the sonnet at least. on wed, mar 18, 2026, 1:16 am julia kasper @ . wrote: jukasper left a comment (microsoft/vscode) thank you for your feedback - we love hearing when developers love our model choices! — reply to this email directly, view it on github , or unsubscribe . you are receiving this because you authored the thread.message id: @ .",2026-03-18 05:43:59+00:00,IslamJihad,User,NONE,0,triage
microsoft/vscode,302598,4078516747,"if that's not a valid use-case, how are we suposed to resolve the plugin path?",2026-03-17 23:00:47+00:00,ConsoleTVs,User,NONE,0,unlabelled
microsoft/vscode,302598,4078662110,maybe this is not supported yet in the vscode version that's stable... any workarounds?,2026-03-17 23:33:19+00:00,ConsoleTVs,User,NONE,0,unlabelled
microsoft/vscode,302598,4085699195,please update your version of vs code,2026-03-18 21:31:42+00:00,connor4312,User,MEMBER,0,unlabelled
microsoft/vscode,302597,4078547236,"this should be re-opened - i'm also getting this error on copilot chat after auto-upgrade of vs code to 1.112.0 which is clearly newer than the one the bot suggested to ""upgrade to"" -",2026-03-17 23:07:39+00:00,jorlopama,User,NONE,0,bug
microsoft/vscode,302597,4078565858,"👍 gentle fyi: this relates to : [url] -code-engineering seems like latest is [inline code] and it is causing issue, above is the associated issue. temporary solution i did: (if it helps) i moved it to this version and works for me:",2026-03-17 23:11:50+00:00,Tatsinnit,User,MEMBER,0,bug
microsoft/vscode,302597,4078580250,"yes, 1.111 worked for me too - thanks for sharing the related one",2026-03-17 23:15:02+00:00,jorlopama,User,NONE,0,bug
microsoft/vscode,302597,4078590769,"hi everyone, sorry for the inconvenience. the vs code team is in the middle of moving to a weekly update cycle, and we’re still learning as we go and smoothing out a few parts of the process. copilot chat 0.40 is now out. if you’re using vs code 1.112, you’ll need to update to copilot chat 0.40 . the easiest way to do that is to run extensions: check for extension updates. for context, we’ve started rolling out the stable release to microsoft internal users one day earlier than before. we’ve now updated our release schedule so copilot chat will also be published earlier to avoid this kind of incompatibility going forward.",2026-03-17 23:17:23+00:00,jukasper,User,MEMBER,0,bug
microsoft/vscode,302597,4086141052,"github copilot chat 0.40.1 failed to load on vscode 1.112.0 (latest version by far). installed 0.40.0, copilot chat was loaded.",2026-03-18 23:02:45+00:00,Francis-Liu,User,NONE,0,bug
microsoft/vscode,302590,4078408739,downgrading to 1.111.0 from the website fixed the issue: [code block],2026-03-17 22:36:49+00:00,raf-microsoft,User,NONE,1,engineering
microsoft/vscode,302590,4078463941,same issue here.,2026-03-17 22:49:13+00:00,lyndaidaii,User,NONE,0,engineering
microsoft/vscode,302590,4078489289,related issues: [url] [url],2026-03-17 22:54:15+00:00,raf-microsoft,User,NONE,0,engineering
microsoft/vscode,302590,4078545755,"sorry for the trouble. copilot chat 0.40 is out now. if you're using vs code 1.112, you'll need to update to copilot chat 0.40. you can use the [inline code] command for this as background: we've started rolling out stable release to ms internal users a day early. i've updated our schedule to make sure we also publish copilot chat early enough to avoid incompatibilities like this in the future",2026-03-17 23:07:21+00:00,mjbvz,User,COLLABORATOR,0,engineering
microsoft/vscode,302590,4078585075,i think the issue is that for the users the latest available chat version in the marketplace is:,2026-03-17 23:16:09+00:00,raf-microsoft,User,NONE,1,engineering
microsoft/vscode,302590,4078598676,"copilot chat 0.40 is now out. if you’re using vs code 1.112, you’ll need to update to copilot chat 0.40. the easiest way to do that is to run extensions: check for extension updates .",2026-03-17 23:19:07+00:00,jukasper,User,MEMBER,0,engineering
microsoft/vscode,302590,4078602027,-microsoft try running check for updates again there may also be a slight delay based on your region but it should be available everywhere now,2026-03-17 23:19:55+00:00,mjbvz,User,COLLABORATOR,0,engineering
microsoft/vscode,302590,4078607386,,2026-03-17 23:21:11+00:00,raf-microsoft,User,NONE,0,engineering
microsoft/vscode,302590,4078610410,let's wait for a few hours for the marketplace to update...,2026-03-17 23:21:55+00:00,raf-microsoft,User,NONE,0,engineering
microsoft/vscode,302590,4084810380,"still having this issue; on [url] i can see newest version [inline code] but, in vscode extensions view, the changelog shows 0.39 even though the ""last released"" shows 2 hours ago (correlates with [inline code] )",2026-03-18 18:38:25+00:00,mikeatlas,User,NONE,0,engineering
microsoft/vscode,302590,4084960230,"[inline code] is the insiders build of copilot chat. are you using vs code insiders? otherwise you can't pick up that version if you're not using insiders, double check your vs code version: - vs code 1.111 uses copilot chat 0.39 - vs code 1.112 uses copilot chat 0.40",2026-03-18 19:05:06+00:00,mjbvz,User,COLLABORATOR,0,engineering
microsoft/vscode,302590,4084987376,thanks i ended up downgrading to [inline code] for now.,2026-03-18 19:10:20+00:00,mikeatlas,User,NONE,0,engineering
microsoft/vscode,302590,4086228072,yup as of today the latest copilot chat still shows as 0.39 even after - extensions: check for extension updates.,2026-03-18 23:19:17+00:00,raf-microsoft,User,NONE,0,engineering
microsoft/vscode,302585,4078361074,is there a way to unblock version: 1.112.0 (user setup) commit: [hash] date: 2026-03-17t18:09:23z electron: 39.8.0 electronbuildid: 13470701 chromium: 142.0.7444.265 node.js: 22.22.0 v8: 14.2.231.22-electron.0 os: windows nt x64 10.0.26200,2026-03-17 22:27:05+00:00,rajeshka,User,NONE,0,unlabelled
microsoft/vscode,302585,4078378527,"vs code just got updated to the latest. now, it shows failed to load with compatibility issues with copilot chat 0.39.2. the vs code version is also 1.112.0 for me.",2026-03-17 22:30:38+00:00,wuxbms,User,NONE,0,unlabelled
microsoft/vscode,302585,4078517989,"is there a way to unblock version: 1.112.0 (user setup) commit: [07ff9d6]( [url] date: 2026-03-17t18:09:23z electron: 39.8.0 electronbuildid: 13470701 chromium: 142.0.7444.265 node.js: 22.22.0 v8: 14.2.231.22-electron.0 os: windows nt x64 10.0.26200 rolling back to the previous stable release of vs code helped me, download and run: [url]",2026-03-17 23:01:01+00:00,smichtch,User,MEMBER,0,unlabelled
microsoft/vscode,302585,4078593701,"hi everyone, sorry for the inconvenience. the vs code team is in the middle of moving to a weekly update cycle, and we’re still learning as we go and smoothing out a few parts of the process. copilot chat 0.40 is now out . if you’re using vs code 1.112, you’ll need to update to copilot chat 0.40. the easiest way to do that is to run extensions: check for extension updates. for context, we’ve started rolling out the stable release to microsoft internal users one day earlier than before. we’ve now updated our release schedule so copilot chat will also be published earlier to avoid this kind of incompatibility going forward.",2026-03-17 23:17:59+00:00,jukasper,User,MEMBER,0,unlabelled
microsoft/vscode,302585,4078601900,"i ended up restarting my machine and chat seems to be loading now. no idea why though. can't tell if this some update lock on files, internal version check state mismatch, etc. would be great to get clear on what's going on. the system restart seemed to have auto updated my copilot chat to 0.40 which lines up with what noted.",2026-03-17 23:19:52+00:00,anthonyfourie,User,NONE,0,unlabelled
microsoft/vscode,302581,4078264461,the release is only available to ms internal users right now. we'll be pushing out the release to everyone else shortly and make sure the website is updated before then opening this issue to see if we can avoid this next time,2026-03-17 22:05:38+00:00,mjbvz,User,COLLABORATOR,0,unlabelled
microsoft/vscode,302581,4078285704,"[]( [url] the release is only available to ms internal users right now. we'll be pushing out the release to everyone else shortly and make sure the website is updated before then opening this issue to see if we can avoid this next time ah i see, was confused when i saw that on stable. related i think:",2026-03-17 22:10:46+00:00,JeffreyCA,User,MEMBER,0,unlabelled
microsoft/vscode,302581,4078400080,"plan: when stable release notes are not yet published for the current vs code stable version, show the insiders content but remove insiders branding from the notes. this approach shows info about the updates, but avoids confusion about the product edition.",2026-03-17 22:34:56+00:00,ntrogh,User,CONTRIBUTOR,0,unlabelled
microsoft/vscode,302581,4078413688,"thanks for confirming this is a microsoft internal users issue, but 112 is broken for copilot [url] i was on stable to avoid this, is there a work around that doesn't involve uninstalling stable, re-installing the externally released stable and blocking auto updates?",2026-03-17 22:37:49+00:00,jineens,User,MEMBER,0,unlabelled
microsoft/vscode,302581,4078456718,please open a new issue. this is one is only about the release notes,2026-03-17 22:47:37+00:00,mjbvz,User,COLLABORATOR,0,unlabelled
microsoft/vscode,302578,4078221827,use markdown style,2026-03-17 21:54:59+00:00,jarlungoodoo73,User,NONE,0,triage
microsoft/vscode,302570,4078154324,"to the bot: no, we are on the latest insiders build (1.112). i don't know who should be responsible for fixing the situation (vscode or the copilot chat extension), but it's kind of a big deal that they are not playing nice together.",2026-03-17 21:38:23+00:00,jazzdelightsme,User,MEMBER,0,duplicate
microsoft/vscode,302570,4078163058,"something majorly wrong seems to have happened. it looks like 1.112 got published to non-insiders when it's still in insiders? version: 1.112.0 commit: [hash] date: 2026-03-17t18:09:23z electron: 39.8.0 electronbuildid: 13470701 chromium: 142.0.7444.265 node.js: 22.22.0 v8: 14.2.231.22-electron.0 os: darwin arm64 25.3.0 release notes still shows 1.111: [url] well, it does look like they do intend to update to 1.112: [url] so maybe the release notes and github copilot chat are just temporarily out of sync?",2026-03-17 21:40:09+00:00,sean-mcmanus,User,CONTRIBUTOR,0,duplicate
microsoft/vscode,302570,4078170571,i am seeing the same issue. [code block],2026-03-17 21:41:57+00:00,eosho,User,NONE,0,duplicate
microsoft/vscode,302570,4078292058,"for copilot users hitting compatibility issues — while you wait for fixes, if you want to auto-accept agent tool approvals, i built [antigravity autopilot — os level]( [url] it operates at the os accessibility level (windows ui automation) to auto-click accept/run/continue/allow buttons. works across vs code, cursor, windsurf, and antigravity — no cdp, can't be broken by ide updates. github: [url]",2026-03-17 22:12:21+00:00,timteh,User,NONE,1,duplicate
microsoft/vscode,302570,4078301501,reporting the same issue version: 1.112.0 (user setup) commit: [hash] date: 2026-03-17t18:09:23z electron: 39.8.0 electronbuildid: 13470701 chromium: 142.0.7444.265 node.js: 22.22.0 v8: 14.2.231.22-electron.0 os: windows nt x64 10.0.26200,2026-03-17 22:14:42+00:00,llxu1,User,NONE,0,duplicate
microsoft/vscode,302570,4078315934,i can reproduce this issue too. vscode updated itself to build 1.112 from 1.111 and the copilot chat agent stopped working (same error message as llxu1).,2026-03-17 22:18:04+00:00,fabiann-msft,User,MEMBER,0,duplicate
microsoft/vscode,302570,4078556138,"sorry for the trouble. copilot chat 0.40 is out now. if you're using vs code 1.112, you'll need to update to copilot chat 0.40. you can use the extensions: check for extension updates command for this as background: we've started rolling out stable release to ms internal users a day early. i've updated our schedule to make sure we also publish copilot chat early enough to avoid incompatibilities like this in the future",2026-03-17 23:09:37+00:00,mjbvz,User,COLLABORATOR,0,duplicate
microsoft/vscode,302524,4077403062,"i believe this is already fixed, can you see if you can reproduce in the [insiders build]( [url]",2026-03-17 19:13:43+00:00,meganrogge,User,COLLABORATOR,1,bug
microsoft/vscode,302524,4077640406,"i checked in the insiders build and couldn't reproduce, so looks fixed to me.",2026-03-17 19:57:01+00:00,liamtoney,User,NONE,1,bug
microsoft/vscode,302524,4078180898,thanks. should be fixed with [url] try on insiders build [insiders build]( [url] /dup [url] [url],2026-03-17 21:44:24+00:00,anthonykim1,User,CONTRIBUTOR,1,bug
microsoft/vscode,302504,4078020502,duplicate [url],2026-03-17 21:08:44+00:00,lramos15,User,MEMBER,0,duplicate
microsoft/vscode,302502,4077227500,can you include your logs cmd + shift + p - show output channel - github copilot chat,2026-03-17 18:44:03+00:00,lramos15,User,MEMBER,0,bug
